embedding_dim,in_distribution_meanAUC,ood_meanAUC
16,0.6874490389940912,0.6613940411014625
32,0.6805539958426552,0.657625013718914
64,0.696508501241453,0.6559153179336593
128,0.6882013345214916,0.6625540561013831
