model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high,auprc,prec_at_rec50,prec_at_prev1e-3
HetMoE,in_distribution,ARID3A,0.8652360000000001,0.8653263105752372,0.8417043826587307,0.8873970696074548,0.8682046709430693,0.9204152249134948,0.01144430581250269
static_mean,in_distribution,ARID3A,0.793688,0.7936771389104753,0.7665217706336825,0.8210650749074166,0.7841398621225304,0.7791411042944786,0.0035188828239727356
best_single,in_distribution,ARID3A,0.641,0.6399203877654744,0.606059099924506,0.6743769957163132,0.6749629480390003,0.6354430379746835,0.0017417613301227565
DNABERT,in_distribution,ARID3A,0.76492,0.7654270039139865,0.7364528196500024,0.7956365987337518,0.7631536363896662,0.7530120481927711,0.0030425469769253238
HetMoE,in_distribution,FOXM1,0.84486,0.8446628406103446,0.8190858556826962,0.8695348678448688,0.8227840180940517,0.867109634551495,0.0064891474602819426
static_mean,in_distribution,FOXM1,0.768956,0.7687331325199726,0.740717672453433,0.7963966881731481,0.7248515711231983,0.7455621301775148,0.0029245874242740757
best_single,in_distribution,FOXM1,0.711016,0.7111469365187635,0.6790236312377633,0.7424191936503816,0.7401472011901079,0.7183908045977011,0.0025470698508435895
DNABERT,in_distribution,FOXM1,0.7748,0.7747731836605982,0.7467719766710237,0.8031470361899213,0.7496423930846393,0.7760736196319018,0.003457228751024871
HetMoE,in_distribution,GATA3,0.8946599999999999,0.8947192540349167,0.8747248563457004,0.9138538275418131,0.8916900984489116,0.9310344827586207,0.013333333333333332
static_mean,in_distribution,GATA3,0.843324,0.8433557513940331,0.8199317380758574,0.8677061135486042,0.8402085303102729,0.9064748201438849,0.00960878517501716
best_single,in_distribution,GATA3,0.726432,0.726455001717916,0.6949388049434349,0.7578008113315601,0.7201599239187152,0.7470238095238095,0.0029471854965596603
DNABERT,in_distribution,GATA3,0.8198799999999999,0.8197631801107115,0.7939080833876865,0.8459235847456925,0.8149709161856817,0.8250825082508251,0.004699513130439687
HetMoE,in_distribution,JUND,0.9874959999999999,0.9875970848932946,0.9817408804807873,0.9925191233621755,0.9871157511439311,0.9935691318327974,0.13394018205461639
static_mean,in_distribution,JUND,0.9278799999999999,0.92793589399909,0.9118694956252813,0.9425828783261287,0.9169369988892319,0.9379562043795621,0.014907192575406032
best_single,in_distribution,JUND,0.9904520000000001,0.9903939340110169,0.9848321484439085,0.9950879977004867,0.9887248042447808,0.9967948717948718,0.23740458015267174
DNABERT,in_distribution,JUND,0.876888,0.8768242657358181,0.8557995125949256,0.8977876171378946,0.8638333735797779,0.8776223776223776,0.007127442071785552
