model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high
HetMoE,in_distribution,ARID3A,0.8331,0.8340228332857942,0.807448065307438,0.8570124699970748
static_mean,in_distribution,ARID3A,0.744816,0.7458610891157589,0.7138026695526696,0.7735430744170496
best_single,in_distribution,ARID3A,0.841468,0.8420760243632196,0.8176880553560629,0.8654954550411921
DNABERT,in_distribution,ARID3A,0.739112,0.7400227512730556,0.7099910670031688,0.7680113875
HetMoE,in_distribution,FOXM1,0.8345239999999999,0.8343353597308952,0.8071512673088189,0.8574864706320696
static_mean,in_distribution,FOXM1,0.743892,0.7437274973547555,0.7130106050985745,0.7720756544856553
best_single,in_distribution,FOXM1,0.726108,0.7250163277409336,0.6931108512650206,0.7537443609306217
DNABERT,in_distribution,FOXM1,0.775972,0.7758431997195173,0.7469816831086111,0.8045050000759684
HetMoE,in_distribution,GATA3,0.8410080000000001,0.8409864993934312,0.8180421284653169,0.8661696960651092
static_mean,in_distribution,GATA3,0.7594879999999999,0.7594557031395518,0.7301155593285702,0.7894794431541766
best_single,in_distribution,GATA3,0.7323679999999999,0.7323000638875876,0.7012051449435998,0.7617014678319591
DNABERT,in_distribution,GATA3,0.7734920000000001,0.7736489944205696,0.745222493373222,0.8013680658678454
HetMoE,out_of_distribution,BCLAF1,0.763952,0.7630893551908755,0.735699905743776,0.791790652358469
static_mean,out_of_distribution,BCLAF1,0.7079880000000001,0.7066634206978962,0.6773692287690352,0.736834426320893
best_single,out_of_distribution,BCLAF1,0.7247159999999999,0.7231976652026304,0.6933336879964855,0.7539494534762566
DNABERT,out_of_distribution,BCLAF1,0.7332479999999999,0.7320397328901082,0.7020848766580288,0.7624320294693537
HetMoE,out_of_distribution,CTCF,0.9372079999999999,0.9372304125630582,0.9223488562557854,0.9512047514152784
static_mean,out_of_distribution,CTCF,0.8179960000000001,0.8174870050082141,0.7901073943446336,0.8434839340372957
best_single,out_of_distribution,CTCF,0.8402160000000001,0.8403476677385368,0.8157275146652934,0.8635147400781005
DNABERT,out_of_distribution,CTCF,0.80128,0.8006593686795546,0.7712178310372967,0.8284214386655833
HetMoE,out_of_distribution,POLR2A,0.7378279999999999,0.7380854257035221,0.7086035508385078,0.7652924226946721
static_mean,out_of_distribution,POLR2A,0.696368,0.696502028589235,0.6652683268326832,0.7270521103121542
best_single,out_of_distribution,POLR2A,0.7128080000000001,0.7128684059298376,0.6810971640597809,0.7443674204602552
DNABERT,out_of_distribution,POLR2A,0.7157239999999999,0.7152908525026638,0.6841434883001251,0.7472183379671445
HetMoE,out_of_distribution,RBBP5,0.7274400000000001,0.7279097163506444,0.6957631007694925,0.7577300242168771
static_mean,out_of_distribution,RBBP5,0.7048999999999999,0.7053836156235177,0.6704291554744075,0.7387912812691251
best_single,out_of_distribution,RBBP5,0.721184,0.7217133595036376,0.6913697685666736,0.7533621021882633
DNABERT,out_of_distribution,RBBP5,0.7102879999999999,0.7108157545416591,0.6785094225905417,0.7421624436335702
HetMoE,out_of_distribution,SAP30,0.7143160000000001,0.7142017502862,0.6816954679413602,0.7444504458389478
static_mean,out_of_distribution,SAP30,0.691476,0.6913541265248104,0.6597047649910825,0.7226505747696425
best_single,out_of_distribution,SAP30,0.699036,0.6990444403546608,0.6658687675107583,0.7311102714589228
DNABERT,out_of_distribution,SAP30,0.70668,0.706405545213366,0.6728926204481854,0.7360471495371056
HetMoE,out_of_distribution,STAT3,0.772548,0.7720159397577304,0.7427633203686372,0.8020022598981605
static_mean,out_of_distribution,STAT3,0.73156,0.7309107425701614,0.6991504319425225,0.7616098199372761
best_single,out_of_distribution,STAT3,0.7405720000000001,0.7399952910982135,0.7093001558618544,0.7708088483638545
DNABERT,out_of_distribution,STAT3,0.741608,0.7410575246690839,0.7120581160082318,0.7718306306004576
