data_type,tf,mean_diff,ci95_low,ci95_high,p_value,superior,non_inferior_TOST
in_distribution,ARID3A,0.09400008201273843,0.07747153954463262,0.11179476089517396,0.0,True,True
in_distribution,FOXM1,0.05849216001137781,0.04256179117514225,0.0740127634291024,0.0,True,True
in_distribution,GATA3,0.06733750497286162,0.0507280273599971,0.08367846950862694,0.0,True,True
out_of_distribution,BCLAF1,0.031049622300767504,0.011903423491812929,0.04936966646754664,0.0,True,True
out_of_distribution,CTCF,0.13657104388350377,0.1154707889732424,0.1585307042623423,0.0,True,True
out_of_distribution,POLR2A,0.022794573200858273,0.0010393963239367038,0.04453888247447653,0.044,True,True
out_of_distribution,RBBP5,0.01709396180898551,-0.004397500147583505,0.03748578676020283,0.102,False,True
out_of_distribution,SAP30,0.007796205072834125,-0.013704025928574068,0.03192903912348548,0.518,False,False
out_of_distribution,STAT3,0.03095841508864638,0.015214522228907993,0.047459065553729717,0.0,True,True
