data_type,dataset_tf,model,mean_auc,std_auc,sem_auc,ci95_low,ci95_high
in_distribution,ARID3A,MoE,0.555396526432813,0.018125742007358083,0.0005731862902384402,0.5207222543474679,0.5909623174471089
in_distribution,ARID3A,ARID3A,0.6916943358114723,0.01572556184663955,0.0004972859292122446,0.6598318914877668,0.7221909026351246
in_distribution,ARID3A,FOXM1,0.5695238183982372,0.018076397833237622,0.0005716258904436343,0.5350559746318814,0.6059721382805464
in_distribution,ARID3A,GATA3,0.5992781094468547,0.017617725759240855,0.0005571214059142036,0.5643538654703546,0.6321445236027005
in_distribution,FOXM1,MoE,0.6473501476034833,0.017081919430112575,0.0005401777220664117,0.6133142797817288,0.6795674310247207
in_distribution,FOXM1,ARID3A,0.5742908772383087,0.01776013546125947,0.0005616247961070507,0.5382136353594181,0.6086523038610901
in_distribution,FOXM1,FOXM1,0.6714589126874284,0.01676695080949647,0.0005302175397401281,0.638676592385853,0.7042208358739658
in_distribution,FOXM1,GATA3,0.5730541554784998,0.018094945474698688,0.0005722124183660457,0.5390084756137524,0.6082172053237502
in_distribution,GATA3,MoE,0.5971079907380139,0.018093790946433843,0.0005721759089766462,0.5599173989330306,0.6330811627067086
in_distribution,GATA3,ARID3A,0.5952222883725815,0.018620485732611484,0.0005888314605372133,0.5584271803552008,0.6302322117428452
in_distribution,GATA3,FOXM1,0.6088848516074015,0.01789855120947582,0.0005660018863910512,0.5736249888326272,0.6430153469937145
in_distribution,GATA3,GATA3,0.7117232911207564,0.016313857468410534,0.000515889470235257,0.6794928985682388,0.7444787969856788
out_of_distribution,BCLAF1,MoE,0.6678136493808031,0.01697336537916971,0.0005367449415642377,0.6355725446920353,0.701227616907325
out_of_distribution,BCLAF1,ARID3A,0.5991860437618876,0.01838104208166305,0.0005812595874545795,0.5637235942035332,0.6353031945476207
out_of_distribution,BCLAF1,FOXM1,0.6732034196618922,0.016731172191787484,0.0005290861205051998,0.6401408804521438,0.704864141236467
out_of_distribution,BCLAF1,GATA3,0.5675663560923272,0.017498628321320167,0.0005533552142410048,0.5331850265480219,0.6010856626423388
out_of_distribution,CTCF,MoE,0.720353363455803,0.016128421043838402,0.0005100254556071976,0.6887852890991548,0.7493076313389436
out_of_distribution,CTCF,ARID3A,0.8970043034082655,0.010019810974773575,0.00031685424404636427,0.8774433085977024,0.9158204456745498
out_of_distribution,CTCF,FOXM1,0.7786696101306645,0.014674822097144534,0.0004640586208474545,0.7498216797825551,0.8064291890370506
out_of_distribution,CTCF,GATA3,0.5332973538887261,0.01755410819293957,0.0005551096418271152,0.4986465920026408,0.5685420721186082
out_of_distribution,POLR2A,MoE,0.6478019318759913,0.017643797840653862,0.0005579458775202679,0.6120785801518538,0.6819656064067154
out_of_distribution,POLR2A,ARID3A,0.5312785148574555,0.018447687340425574,0.0005833670955839882,0.49550066011092303,0.5666945075551186
out_of_distribution,POLR2A,FOXM1,0.648818559207453,0.01768443569247416,0.0005592309592299536,0.6130347882399753,0.6831603496092109
out_of_distribution,POLR2A,GATA3,0.5372559929279327,0.01808663199269613,0.0005719495229818967,0.5022798491899965,0.5715301388555305
out_of_distribution,RBBP5,MoE,0.6163173950232947,0.018341587746859466,0.0005800119318391177,0.5790499619306151,0.6540036750476307
out_of_distribution,RBBP5,ARID3A,0.5405264419658622,0.01873035338594089,0.0005923057807942003,0.5033423280839838,0.5769027224065062
out_of_distribution,RBBP5,FOXM1,0.6174209515860689,0.018111467330501983,0.0005727348853211586,0.5810716799719743,0.6526616424107232
out_of_distribution,RBBP5,GATA3,0.5579284905746502,0.018602748392166215,0.0005882705565828046,0.5229583973929787,0.5964791316418009
out_of_distribution,SAP30,MoE,0.6302814032101447,0.01713742524773935,0.000541932970137317,0.5964865540822046,0.6632033057067055
out_of_distribution,SAP30,ARID3A,0.5555531423790012,0.01791257936180807,0.0005664454955183883,0.5211967833406391,0.5906923978133667
out_of_distribution,SAP30,FOXM1,0.6360365531573182,0.017147114617823252,0.0005422393749228913,0.6008559034236137,0.6691796095473261
out_of_distribution,SAP30,GATA3,0.5424626606265679,0.01865520048780504,0.0005899292374854814,0.507060506754482,0.5782338243493738
out_of_distribution,STAT3,MoE,0.6283716714707762,0.01733644566684523,0.0005482265483898758,0.5943305844544381,0.6601051213972431
out_of_distribution,STAT3,ARID3A,0.6247283911526997,0.01667326331011366,0.0005272548808767752,0.5920696910529608,0.6554596903324541
out_of_distribution,STAT3,FOXM1,0.6389072827905246,0.017303950975558695,0.000547198976026581,0.6045406099353926,0.6712250581515983
out_of_distribution,STAT3,GATA3,0.5862348731339952,0.01778583395172328,0.0005624374537299882,0.5495769983614058,0.6196026364922788
