data_type,dataset_tf,F,df_between,df_within,p,eta2,omega2,best_model,moe_rank,mean_MoE,mean_ARID3A,mean_FOXM1,mean_GATA3,diff_vs_ARID3A,padj_vs_ARID3A,diff_vs_FOXM1,padj_vs_FOXM1,diff_vs_GATA3,padj_vs_GATA3
in_distribution,ARID3A,2865.0669727820514,3,116,1.406491869717738e-108,0.9866838107526946,0.9862262129713629,ARID3A,2/4,0.7150385555555554,0.7795402444444444,0.6978693555555554,0.6931806888888887,-0.06450168888888896,0.0,0.017169199999999996,0.0,0.02185786666666667,0.0
in_distribution,FOXM1,14155.676283256193,3,116,1.5108530516511006e-148,0.9972759100718447,0.9971820421120007,FOXM1,2/4,0.8012718666666666,0.6828290444444445,0.8051859555555555,0.7159860444444444,0.11844282222222213,0.0,-0.003914088888888889,2.5842556925503857e-06,0.08528582222222225,0.0
in_distribution,GATA3,1494.5487551934962,3,116,1.7063017093568303e-92,0.9747806693597215,0.9739167079856214,GATA3,2/4,0.7151602222222222,0.705793511111111,0.7012253333333333,0.7657748666666667,0.009366711111111203,2.204902926905561e-13,0.013934888888888941,0.0,-0.05061464444444452,0.0
out_of_distribution,BCLAF1,5774.78311537792,3,116,4.612107419384219e-126,0.9933487570863531,0.9931197983815054,MoE,1/4,0.7268968666666666,0.6447356888888888,0.7095831111111112,0.6361693555555554,0.08216117777777787,0.0,0.017313755555555477,0.0,0.09072751111111121,0.0
out_of_distribution,CTCF,18776.20769963812,3,116,1.2049685233168859e-155,0.9979448883944761,0.9978740601412138,FOXM1,2/4,0.9343970222222221,0.7457312444444445,0.9626515333333334,0.7049166,0.1886657777777776,0.0,-0.028254511111111325,0.0,0.2294804222222221,0.0
out_of_distribution,POLR2A,4056.9928717186276,3,116,3.0597339722781618e-117,0.9905591111018204,0.9902343580048236,MoE,1/4,0.6622424666666668,0.5773229333333332,0.6527562888888888,0.5943144888888889,0.08491953333333357,0.0,0.009486177777777938,0.0,0.06792797777777781,0.0
out_of_distribution,RBBP5,1380.35798033106,3,116,1.517676013469685e-90,0.9727512367396332,0.9718182441961047,MoE,1/4,0.6814329777777778,0.6363349777777779,0.6710724222222221,0.6484008222222222,0.04509799999999986,0.0,0.010360555555555706,0.0,0.03303215555555561,0.0
out_of_distribution,SAP30,1981.2889413424957,3,116,1.943302934769993e-99,0.9808576651321682,0.9802008518774452,MoE,1/4,0.6629519777777779,0.6125836444444445,0.6530280222222223,0.6179083555555555,0.05036833333333346,0.0,0.009923955555555586,0.0,0.04504362222222247,0.0
out_of_distribution,STAT3,334.84740034769874,3,116,6.100734246057444e-57,0.896478686932079,0.89300447197761,MoE,1/4,0.7574643111111111,0.7494243333333332,0.7364721555555555,0.7221558888888888,0.008039977777777874,4.0939110990123595e-09,0.02099215555555567,0.0,0.0353084222222223,0.0
