data_type,dataset_tf,comparison,diff,q_stat,p_adj,tukey_ci_low,tukey_ci_high,paired_boot_ci_low,paired_boot_ci_high,significant
in_distribution,ARID3A,MoE - ARID3A,-0.13629780937865932,-247.50998553896022,0.0,-0.1382993451679502,-0.13429627358936844,-0.17445465177804173,-0.10043313489690912,True
in_distribution,ARID3A,MoE - FOXM1,-0.014127291965424171,-25.65445362626855,0.0,-0.01612882775471504,-0.012125756176133302,-0.02083840594918633,-0.007531655516161568,True
in_distribution,ARID3A,MoE - GATA3,-0.04388158301404166,-79.68675378382643,0.0,-0.045883118803332526,-0.04188004722475079,-0.08324713092378584,-0.005780822299274541,True
in_distribution,FOXM1,MoE - ARID3A,0.07305927036517457,132.519333977225,0.0,0.07105542919485779,0.07506311153549135,0.035078147150638866,0.11095367625358657,True
in_distribution,FOXM1,MoE - FOXM1,-0.024108765083945105,-43.729939759440796,0.0,-0.026112606254261882,-0.022104923913628328,-0.03008035017098755,-0.01829766996869355,True
in_distribution,FOXM1,MoE - GATA3,0.0742959921249835,134.76257488431105,0.0,0.07229215095466672,0.07629983329530028,0.03392280544462739,0.11379751955364475,True
in_distribution,GATA3,MoE - ARID3A,0.0018857023654323957,3.3590242526266194,0.08204416799604508,-0.00015475354659406828,0.00392615827745886,-0.03255706778690676,0.038196146931328126,False
in_distribution,GATA3,MoE - FOXM1,-0.011776860869387562,-20.978263593051878,0.0,-0.013817316781414027,-0.009736404957361097,-0.01732787814015039,-0.006170079640404467,True
in_distribution,GATA3,MoE - GATA3,-0.11461530038274248,-204.16560999510477,0.0,-0.11665575629476894,-0.11257484447071602,-0.15165084121680025,-0.07629232271141691,True
out_of_distribution,BCLAF1,MoE - ARID3A,0.06862760561891557,124.66974119643116,0.0,0.06662679954078961,0.07062841169704152,0.02863953708408677,0.10930271859611661,True
out_of_distribution,BCLAF1,MoE - FOXM1,-0.005389770281089112,-9.791122100089575,2.7197688545754772e-11,-0.00739057635921507,-0.003388964202963155,-0.01147651034384314,0.0008440648295752751,False
out_of_distribution,BCLAF1,MoE - GATA3,0.10024729328847592,182.11044953712187,0.0,0.09824648721034997,0.10224809936660188,0.0614868589510254,0.13899521149260793,True
out_of_distribution,CTCF,MoE - ARID3A,-0.1766509399524625,-375.76383352349643,0.0,-0.1783596492553377,-0.1749422306495873,-0.20688172408514874,-0.14913094409033464,True
out_of_distribution,CTCF,MoE - FOXM1,-0.05831624667486146,-124.04766378907867,0.0,-0.06002495597773665,-0.05660753737198627,-0.06650340702567552,-0.05035031785281801,True
out_of_distribution,CTCF,MoE - GATA3,0.1870560095670769,397.89702368664257,0.0,0.1853473002642017,0.1887647188699521,0.15027644064606904,0.22597213294347374,True
out_of_distribution,POLR2A,MoE - ARID3A,0.11652341701853586,205.06819403879302,0.0,0.11445812192136051,0.1185887121157112,0.0737577459081555,0.16057355766114836,True
out_of_distribution,POLR2A,MoE - FOXM1,-0.0010166273314616836,-1.7891505090359772,0.5852838517405397,-0.003081922428637033,0.0010486677657136657,-0.008385905854943074,0.005609300827229959,False
out_of_distribution,POLR2A,MoE - GATA3,0.11054593894805864,194.54850053697731,0.0,0.1084806438508833,0.11261123404523399,0.06960164947897013,0.15392217667729202,True
out_of_distribution,RBBP5,MoE - ARID3A,0.07579095305743255,129.91702259354537,0.0,0.07367054952805872,0.07791135658680638,0.036209630151718866,0.11595449219057033,True
out_of_distribution,RBBP5,MoE - FOXM1,-0.0011035565627741661,-1.8916609056300386,0.5389229533682827,-0.0032239600921479955,0.0010168469665996632,-0.007707197162297508,0.004939897452509418,False
out_of_distribution,RBBP5,MoE - GATA3,0.05838890444864453,100.0873100608544,0.0,0.0562685009192707,0.06050930797801836,0.017179632172927697,0.09890848195020896,True
out_of_distribution,SAP30,MoE - ARID3A,0.07472826083114348,133.3268887128727,0.0,0.07269105767930653,0.07676546398298043,0.03080890979114282,0.1158127660373882,True
out_of_distribution,SAP30,MoE - FOXM1,-0.005755149947173521,-10.26808637051694,0.0,-0.00779235309901047,-0.003717946795336572,-0.012250078920080471,0.0009305596545355947,False
out_of_distribution,SAP30,MoE - GATA3,0.0878187425835768,156.6823526885203,0.0,0.08578153943173986,0.08985594573541375,0.04188412222896393,0.1324045778608118,True
out_of_distribution,STAT3,MoE - ARID3A,0.0036432803180764806,6.667508286931267,1.4877933026680168e-05,0.0016572026295124148,0.005629358006640547,-0.031039907768309227,0.03450445044504444,False
out_of_distribution,STAT3,MoE - FOXM1,-0.01053561131974834,-19.281051593470686,0.0,-0.012521689008312405,-0.008549533631184273,-0.016497345416149382,-0.004786683950529123,True
out_of_distribution,STAT3,MoE - GATA3,0.04213679833678097,77.11387199642347,0.0,0.040150720648216905,0.04412287602534503,0.004202456950713094,0.07777938347953997,True
