data_type,dataset_tf,F,df_between,df_within,p,eta2,omega2,best_model,moe_rank,mean_MoE,mean_ARID3A,mean_FOXM1,mean_GATA3,diff_vs_ARID3A,sig_vs_ARID3A,diff_vs_FOXM1,sig_vs_FOXM1,diff_vs_GATA3,sig_vs_GATA3
in_distribution,ARID3A,23112.401135194676,3,3996,0.0,0.9455089943650857,0.9454551926080456,ARID3A,2/4,0.710293771941891,0.7547497195678934,0.59037150353832,0.601462086355936,-0.0444559476260024,*,0.1199222684035708,*,0.1088316855859549,*
in_distribution,FOXM1,18867.00594801285,3,3996,0.0,0.9340561608116642,0.933991240269693,FOXM1,2/4,0.687410054694922,0.5753014052738956,0.7252250381995478,0.588582434027225,0.1121086494210263,*,-0.0378149835046255,*,0.098827620667697,*
in_distribution,GATA3,23493.47139986506,3,3996,0.0,0.9463454297183158,0.9462924425748692,GATA3,2/4,0.7219929598020516,0.6216496699504597,0.6145016874670582,0.7807068940852683,0.1003432898515917,*,0.1074912723349933,*,-0.0587139342832167,*
out_of_distribution,BCLAF1,12979.451469636802,3,3996,0.0,0.9069276793604076,0.9068366837756933,MoE,1/4,0.6782498019115737,0.606453288312679,0.6767391821635704,0.5510655013017842,0.0717965135988947,*,0.0015106197480033,ns,0.1271843006097896,*
out_of_distribution,CTCF,159955.85492447097,3,3996,0.0,0.991741473648938,0.9917332239407257,ARID3A,2/4,0.8924497330933145,0.8944367243583359,0.8776032259872054,0.5701149540841429,-0.0019869912650213,ns,0.0148465071061091,*,0.3223347790091716,*
out_of_distribution,POLR2A,6478.415495374958,3,3996,0.0,0.8294584966972932,0.8292950698359821,FOXM1,2/4,0.6260081698244687,0.5504184510715229,0.6386185459705821,0.5558303915291853,0.0755897187529459,*,-0.0126103761461133,ns,0.0701777782952833,*
out_of_distribution,RBBP5,4391.467806034977,3,3996,0.0,0.7672739595747357,0.7670545672590439,FOXM1,2/4,0.6396491459896754,0.5737492565600765,0.6422485674319444,0.5828693775054334,0.0658998894295988,*,-0.0025994214422688,ns,0.0567797684842419,*
out_of_distribution,SAP30,5638.238294612329,3,3996,0.0,0.8089017988051322,0.8087196567943042,MoE,1/4,0.6310929989468513,0.579570403117735,0.6268001161349545,0.543906189476815,0.0515225958291162,*,0.0042928828118968,ns,0.0871868094700362,*
out_of_distribution,STAT3,2276.014009237029,3,3996,0.0,0.6308218325677533,0.6304864230771229,MoE,1/4,0.63001546410639,0.5997747645870832,0.6266846017221618,0.57342576000246,0.0302406995193067,*,0.0033308623842281,ns,0.0565897041039299,*
