data_type,dataset_tf,model,mean_auc,std_auc,sem_auc,ci95_low,ci95_high
in_distribution,ARID3A,MoE,0.7150385555555554,0.004601324500580496,0.0008400830744563768,0.7133203927498233,0.7167567183612875
in_distribution,ARID3A,ARID3A,0.7795402444444444,0.0003866041361778624,7.058393540313811e-05,0.7793958840874995,0.7796846048013892
in_distribution,ARID3A,FOXM1,0.6978693555555554,0.005951122897315489,0.0010865214177817313,0.6956471697450961,0.7000915413660147
in_distribution,ARID3A,GATA3,0.6931806888888887,0.0031414375238040496,0.0005735453982602168,0.6920076568392581,0.6943537209385193
in_distribution,FOXM1,MoE,0.8012718666666666,0.0030914821918504917,0.000564424844200676,0.8001174882445512,0.802426245088782
in_distribution,FOXM1,ARID3A,0.6828290444444445,0.0027642674858972495,0.0005046838856680058,0.6817968500015695,0.6838612388873194
in_distribution,FOXM1,FOXM1,0.8051859555555555,0.0008363096996121421,0.00015268856251264657,0.80487367238149,0.805498238729621
in_distribution,FOXM1,GATA3,0.7159860444444444,0.0037596778737588057,0.0006864201268035861,0.7145821576541492,0.7173899312347395
in_distribution,GATA3,MoE,0.7151602222222222,0.002315609429367178,0.00042277050627868965,0.7142955594509616,0.7160248849934828
in_distribution,GATA3,ARID3A,0.705793511111111,0.0016025194620687315,0.0002925786860720296,0.7051951205097002,0.7063919017125218
in_distribution,GATA3,FOXM1,0.7012253333333333,0.005774159979044704,0.0010542125570554472,0.6990692265625349,0.7033814401041316
in_distribution,GATA3,GATA3,0.7657748666666667,0.005463298646106751,0.0009974573022867002,0.7637348374252683,0.7678148959080652
out_of_distribution,BCLAF1,MoE,0.7268968666666666,0.0024121779488058093,0.0004404014250924945,0.72599614461763,0.7277975887157033
out_of_distribution,BCLAF1,ARID3A,0.6447356888888888,0.0015421937575078003,0.00028156476967689144,0.6441598242757653,0.6453115535020122
out_of_distribution,BCLAF1,FOXM1,0.7095831111111112,0.0026711028005557444,0.00048767441909320134,0.708585704933472,0.7105805172887504
out_of_distribution,BCLAF1,GATA3,0.6361693555555554,0.005279496444939883,0.0009638997650539685,0.6341979591840223,0.6381407519270885
out_of_distribution,CTCF,MoE,0.9343970222222221,0.007258456757826422,0.0013252068329791147,0.9316866699254565,0.9371073745189877
out_of_distribution,CTCF,ARID3A,0.7457312444444445,0.0019427442354154692,0.00035469494706672644,0.745005811824789,0.7464566770641
out_of_distribution,CTCF,FOXM1,0.9626515333333334,0.002162409441950321,0.00039480014330611627,0.9618440763775256,0.9634589902891413
out_of_distribution,CTCF,GATA3,0.7049166,0.006900739322599234,0.0012598968634835066,0.7023398215887735,0.7074933784112265
out_of_distribution,POLR2A,MoE,0.6622424666666668,0.0025766836397412706,0.0004704359176802696,0.6612803171831032,0.6632046161502303
out_of_distribution,POLR2A,ARID3A,0.5773229333333332,0.0015512343432697096,0.00028321534726184403,0.5767436929100064,0.57790217375666
out_of_distribution,POLR2A,FOXM1,0.6527562888888888,0.0023120828160228374,0.0004221266377185917,0.651892942976693,0.6536196348010846
out_of_distribution,POLR2A,GATA3,0.5943144888888889,0.00617534800901451,0.0011274591349939543,0.592008576045706,0.5966204017320719
out_of_distribution,RBBP5,MoE,0.6814329777777778,0.002928354058808799,0.0005346418581237964,0.680339512401618,0.6825264431539375
out_of_distribution,RBBP5,ARID3A,0.6363349777777779,0.002173516159952225,0.00039682794330261347,0.6355233735053089,0.637146582050247
out_of_distribution,RBBP5,FOXM1,0.6710724222222221,0.0027798624816910674,0.0005075311293281632,0.6700344045122151,0.6721104399322291
out_of_distribution,RBBP5,GATA3,0.6484008222222222,0.003988673118594527,0.0007282287471895671,0.646911427202217,0.6498902172422274
out_of_distribution,SAP30,MoE,0.6629519777777779,0.0030806876352532857,0.0005624540368184906,0.6618016301093396,0.6641023254462163
out_of_distribution,SAP30,ARID3A,0.6125836444444445,0.0014533453098033793,0.0002653433366745483,0.6120409563869352,0.6131263325019537
out_of_distribution,SAP30,FOXM1,0.6530280222222223,0.002483126292276968,0.0004533547611380871,0.6521008076263407,0.653955236818104
out_of_distribution,SAP30,GATA3,0.6179083555555555,0.004516377668095146,0.0008245739756760973,0.6162219124183715,0.6195947986927394
out_of_distribution,STAT3,MoE,0.7574643111111111,0.001002314558701458,0.0001829967645055415,0.75709004070393,0.7578385815182922
out_of_distribution,STAT3,ARID3A,0.7494243333333332,0.0027656495277501906,0.0005049362108340964,0.7483916228275492,0.7504570438391173
out_of_distribution,STAT3,FOXM1,0.7364721555555555,0.005161158364985001,0.0009422942864529221,0.7345449473492897,0.7383993637618212
out_of_distribution,STAT3,GATA3,0.7221558888888888,0.0070970613811467695,0.001295740203484285,0.7195058026162197,0.724805975161558
