model_class,method,faithfulness_to_ISM,stability,localization_at10
MoE,smoothgrad_corr,0.7603491804642648,0.9202550960978451,0.5582857142857143
MoE,shiftsmooth_corr,0.7538872119144687,0.9585035360678924,0.5548571428571428
MoE,vanilla_corr,0.751676445627756,0.9474004492886262,0.5525714285714286
MoE,smoothgrad,0.7454499043181629,0.9209207754388883,0.5551428571428572
MoE,shiftsmooth,0.7245889341875363,0.9559251851235544,0.538
MoE,gradxinp,0.7204990654706203,0.9456385299300027,0.5337142857142857
MoE,vanilla,0.7204990654706203,0.9456385299300027,0.5337142857142857
expert,vanilla_corr,0.781889018118312,0.9461381046937882,0.5748571428571428
expert,shiftsmooth_corr,0.7816598409075297,0.9543783146908449,0.5845714285714286
expert,smoothgrad_corr,0.7787926723467561,0.913548287741014,0.6180000000000001
expert,smoothgrad,0.731956430448334,0.9147818941692863,0.582
expert,shiftsmooth,0.7200460898989665,0.9516050540018145,0.5625714285714286
expert,gradxinp,0.717546086251601,0.9430288396474457,0.5531428571428572
expert,vanilla,0.717546086251601,0.9430288396474457,0.5531428571428572
