data_type,dataset_tf,comparison,mean_diff,ci95_low,ci95_high,p_value,significant
in_distribution,GATA3,MoE - GATA3,-0.14726015181139873,-0.1827322084108146,-0.10995507393060765,0.0,True
in_distribution,GATA3,MoE - FOXM1,-0.011454229343200733,-0.016444114803732948,-0.006472272555620169,0.0,True
in_distribution,GATA3,MoE - ARID3A,0.0052827701281170395,-0.02905953499116517,0.03941519652722722,0.776,False
in_distribution,FOXM1,MoE - GATA3,0.1649630073594238,0.13028046864761422,0.20398980577405548,0.0,True
in_distribution,FOXM1,MoE - FOXM1,0.002263066771053184,-0.002509265964738749,0.007389885284482355,0.33,False
in_distribution,FOXM1,MoE - ARID3A,0.16802282852675454,0.13248574926743634,0.20375525393981647,0.0,True
in_distribution,ARID3A,MoE - GATA3,0.013928943300390283,-0.02343862416675309,0.050981241833376975,0.476,False
in_distribution,ARID3A,MoE - FOXM1,0.00037936900902490014,-0.004552136598914014,0.005458360625279726,0.862,False
in_distribution,ARID3A,MoE - ARID3A,-0.10513575961809146,-0.13947970375857116,-0.06996719553318803,0.0,True
out_of_distribution,SAP30,MoE - GATA3,0.11055224300215304,0.06695390848910994,0.15495398387732726,0.0,True
out_of_distribution,SAP30,MoE - FOXM1,0.0012679427542781313,-0.005277288573480299,0.007331142682432168,0.686,False
out_of_distribution,SAP30,MoE - ARID3A,0.06822035294070614,0.026687970248331028,0.10914166637994295,0.0,True
out_of_distribution,CTCF,MoE - GATA3,0.3256537074304824,0.28641772311274377,0.36264532697808843,0.0,True
out_of_distribution,CTCF,MoE - FOXM1,-0.014468203728363533,-0.019051759760203756,-0.010224246088296944,0.0,True
out_of_distribution,CTCF,MoE - ARID3A,0.20648519145894736,0.17567063543995057,0.23803445010829788,0.0,True
out_of_distribution,RBBP5,MoE - GATA3,0.06624996171382566,0.023997434146775676,0.10804789691716248,0.0,True
out_of_distribution,RBBP5,MoE - FOXM1,9.852192100443602e-05,-0.005536892745986103,0.00557641437355966,0.946,False
out_of_distribution,RBBP5,MoE - ARID3A,0.0685073820128314,0.03106575981053309,0.10388524820589622,0.004,True
out_of_distribution,BCLAF1,MoE - GATA3,0.13946877612807215,0.09516867294622043,0.1826079471523495,0.0,True
out_of_distribution,BCLAF1,MoE - FOXM1,-0.0010473707257525069,-0.005784694320774419,0.0041771689447790625,0.678,False
out_of_distribution,BCLAF1,MoE - ARID3A,0.0810502007275175,0.047332830233394046,0.11660276880616716,0.0,True
out_of_distribution,POLR2A,MoE - GATA3,0.088975156598164,0.0466667605570285,0.13282075197349186,0.0,True
out_of_distribution,POLR2A,MoE - FOXM1,-0.0019357721007451831,-0.00785939339490566,0.0046033577041914965,0.54,False
out_of_distribution,POLR2A,MoE - ARID3A,0.0807912769454286,0.04409007695819041,0.11850301015864168,0.0,True
out_of_distribution,STAT3,MoE - GATA3,0.053301453831326055,0.012432013271800279,0.09577744172976721,0.012,True
out_of_distribution,STAT3,MoE - FOXM1,-0.004810822610918855,-0.009532498550831953,-7.17230388338183e-05,0.046,True
out_of_distribution,STAT3,MoE - ARID3A,0.02914935961740192,-0.004665061473678261,0.06277662506265659,0.096,False
