model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high
HetMoE,in_distribution,ARID3A,0.824068,0.8247114760556619,0.7966235608890353,0.8499116187615914
static_mean,in_distribution,ARID3A,0.7322080000000001,0.7331826339157722,0.7010097632331193,0.7618814160719349
best_single,in_distribution,ARID3A,0.719484,0.7195640876235768,0.6864515102893337,0.7510890858962438
DNABERT,in_distribution,ARID3A,0.755444,0.7562704625865293,0.7247552893485051,0.7865708984629619
HetMoE,in_distribution,FOXM1,0.8420319999999999,0.8415854828370477,0.8141477488731318,0.8649121894211065
static_mean,in_distribution,FOXM1,0.7507400000000001,0.7508468171648912,0.7199544922252659,0.779197799292111
best_single,in_distribution,FOXM1,0.722612,0.7226380416540454,0.6885210969451696,0.7520810870837
DNABERT,in_distribution,FOXM1,0.755552,0.7552300032907249,0.7231616217450862,0.7856866115599004
HetMoE,in_distribution,GATA3,0.842148,0.8422191736269405,0.8199537694549339,0.8667445866767467
static_mean,in_distribution,GATA3,0.7589199999999999,0.7589231997552028,0.7288634588285465,0.7891297769217099
best_single,in_distribution,GATA3,0.877496,0.877275458770473,0.8567602087645834,0.8966423609214047
DNABERT,in_distribution,GATA3,0.805412,0.8052612133338832,0.7780091051033472,0.8298982471509897
HetMoE,out_of_distribution,BCLAF1,0.7751359999999999,0.7745278254088359,0.7466181727992751,0.8026234941446057
static_mean,out_of_distribution,BCLAF1,0.7085920000000001,0.7072781925149552,0.675893531435204,0.7371517918132844
best_single,out_of_distribution,BCLAF1,0.6584639999999999,0.6568916061751283,0.6220977955206387,0.688001600160016
DNABERT,out_of_distribution,BCLAF1,0.7201599999999999,0.71869629592545,0.6886780913507978,0.7487231960319511
HetMoE,out_of_distribution,CTCF,0.92174,0.9215855658445564,0.9040232304045003,0.9371489415547202
static_mean,out_of_distribution,CTCF,0.7922800000000001,0.7915189041278867,0.7640468349647216,0.8182874945075517
best_single,out_of_distribution,CTCF,0.638808,0.6381241003787882,0.6025193884609609,0.6731100993413872
DNABERT,out_of_distribution,CTCF,0.75864,0.7580867133335359,0.7283936596456974,0.7880348211791874
HetMoE,out_of_distribution,POLR2A,0.75376,0.7538209116394038,0.7242762520658782,0.7828212080299563
static_mean,out_of_distribution,POLR2A,0.704618,0.704718094513019,0.6737816262363763,0.7354188458483474
best_single,out_of_distribution,POLR2A,0.662568,0.6626760787944586,0.6290482995848424,0.6979464694705845
DNABERT,out_of_distribution,POLR2A,0.709816,0.7097011347752656,0.6780410409780788,0.7421336776438116
HetMoE,out_of_distribution,RBBP5,0.7344999999999999,0.7349558884240359,0.7024611056053885,0.7662316425634119
static_mean,out_of_distribution,RBBP5,0.699052,0.69936724524403,0.6664445364719257,0.7317238773797311
best_single,out_of_distribution,RBBP5,0.688224,0.6883482535188741,0.657136325333046,0.7201600634976594
DNABERT,out_of_distribution,RBBP5,0.7177,0.7180354246373263,0.6874855940158975,0.7480765503321646
HetMoE,out_of_distribution,SAP30,0.701456,0.7007837693538116,0.6684157865237152,0.7307245627479229
static_mean,out_of_distribution,SAP30,0.6914560000000001,0.6910562518266004,0.660348490413496,0.7228370184138868
best_single,out_of_distribution,SAP30,0.666372,0.6663533524339541,0.6334829389968749,0.6978467978025683
DNABERT,out_of_distribution,SAP30,0.704912,0.7048375345703243,0.6738842153347057,0.7362054849105699
HetMoE,out_of_distribution,STAT3,0.7791840000000001,0.7784305136844948,0.748397879178847,0.8076044383275821
static_mean,out_of_distribution,STAT3,0.7312399999999999,0.7305438003206963,0.700421373950392,0.7613984307704424
best_single,out_of_distribution,STAT3,0.701008,0.7004352423576115,0.6682311504880362,0.733558188991885
DNABERT,out_of_distribution,STAT3,0.7368480000000001,0.735918708354285,0.7064481481838847,0.7663008671990077
