data_type,tf,mean_diff,ci95_low,ci95_high,p_value,superior,non_inferior_TOST
in_distribution,ARID3A,0.06844101346913252,0.05157584234559,0.08634816334934496,0.0,True,True
in_distribution,FOXM1,0.08635547954632278,0.06667160536949125,0.10587587208953243,0.0,True,True
in_distribution,GATA3,0.036957960293057215,0.02010935596071175,0.05485993987398555,0.0,True,True
out_of_distribution,BCLAF1,0.055831529483386,0.03560754349752189,0.0774244846670257,0.0,True,True
out_of_distribution,CTCF,0.1634988525110205,0.14009808602098422,0.1873072773088549,0.0,True,True
out_of_distribution,POLR2A,0.04411977686413829,0.021639095442700373,0.06581418944337251,0.0,True,True
out_of_distribution,RBBP5,0.01692046378670969,-0.0035997089023782013,0.0384126354037531,0.118,False,True
out_of_distribution,SAP30,-0.004053765216512619,-0.027308363474643316,0.019983899139242357,0.724,False,False
out_of_distribution,STAT3,0.04251180533021006,0.022716263985175393,0.06137336181071079,0.0,True,True
