data_type,tf,mean_diff,ci95_low,ci95_high,p_value,superior,non_inferior_TOST
in_distribution,ARID3A,0.08389017672682965,0.06418365065177775,0.10438758150076997,0.0,True,True
in_distribution,FOXM1,0.06808510773924963,0.049606274152649905,0.0877479282100049,0.0,True,True
in_distribution,GATA3,0.053103317265630515,0.03524613448130932,0.07186657720173084,0.0,True,True
out_of_distribution,BCLAF1,0.03692767238477838,0.017656681986701603,0.056158777702272976,0.0,True,True
out_of_distribution,CTCF,0.163621147728835,0.13961261477758416,0.18664424400493,0.0,True,True
out_of_distribution,POLR2A,0.026815493119981184,0.005030081082918944,0.04832107956316709,0.008,True,True
out_of_distribution,RBBP5,0.013221362340263925,-0.007429976360664772,0.03341123624525187,0.216,False,True
out_of_distribution,SAP30,0.0015271812681493006,-0.019203469074738626,0.02275956776668203,0.88,False,False
out_of_distribution,STAT3,0.03023635572849758,0.012016324781615188,0.04870023007843972,0.0,True,True
