model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high,auprc,prec_at_rec50,prec_at_prev1e-3
HetMoE,in_distribution,ARID3A,0.8638199999999999,0.8639008760389855,0.8408440723967061,0.8858008879318228,0.8728655845024734,0.9145907473309609,0.010605372838691042
static_mean,in_distribution,ARID3A,0.7812399999999999,0.7812597088288772,0.752279375209901,0.8101212301105234,0.7699810411401158,0.7801857585139319,0.003540270577822734
best_single,in_distribution,ARID3A,0.6241680000000001,0.6235210656475142,0.5899355132705117,0.6578392594341584,0.6454583074085656,0.6127450980392157,0.0015813576904587202
DNABERT,in_distribution,ARID3A,0.751016,0.7518429247794195,0.7240593205373603,0.7823122570828788,0.7577967990946715,0.7606060606060606,0.0031703127368261507
HetMoE,in_distribution,FOXM1,0.8573040000000001,0.856742153756829,0.8326963012601226,0.880391837833697,0.836849851558544,0.8819444444444444,0.007422559906487434
static_mean,in_distribution,FOXM1,0.7803519999999999,0.7800796578458097,0.7523430148123157,0.8076853258078657,0.7372697215459991,0.7418397626112759,0.002868189484070076
best_single,in_distribution,FOXM1,0.6813120000000001,0.6816760257487708,0.6514742485694969,0.7118247421298659,0.6904722488411699,0.6756756756756757,0.0020810788312661285
DNABERT,in_distribution,FOXM1,0.7805200000000001,0.7805309669332744,0.7523630232639216,0.8091119474104947,0.7578228584420248,0.7678571428571429,0.003300076745970837
HetMoE,in_distribution,GATA3,0.890536,0.8907049346820084,0.8698256599006403,0.9111364290228539,0.8722856390631635,0.9090909090909091,0.009910802775024777
static_mean,in_distribution,GATA3,0.854324,0.8545974997488377,0.8319022479504499,0.8775976589081368,0.8479970050149184,0.8975265017667845,0.008691189050470487
best_single,in_distribution,GATA3,0.835072,0.8352363956878947,0.8109969195844726,0.8590727102621777,0.8467251857280303,0.8960573476702509,0.00855549091406865
DNABERT,in_distribution,GATA3,0.82016,0.8200359341965515,0.7932314425269688,0.8462959659624536,0.8113593406135877,0.8333333333333334,0.004980079681274901
HetMoE,in_distribution,JUND,0.98536,0.9853489192127486,0.9799456493263704,0.9901802560182292,0.9853763503028776,1.0,1.0
static_mean,in_distribution,JUND,0.9329719999999999,0.932774039229933,0.918614414947194,0.946787240583357,0.9238847480834563,0.9440298507462687,0.016603228770179817
best_single,in_distribution,JUND,0.823704,0.8237128515165536,0.7987505111904636,0.8478617813455407,0.8435976418558025,0.9124087591240876,0.010319491455461075
DNABERT,in_distribution,JUND,0.8802159999999999,0.8802633147004735,0.8603118439975039,0.9008210459026121,0.8746944877660175,0.9,0.008928571428571428
HetMoE,in_distribution,MAX,0.8662839999999999,0.8672307526909266,0.8440828240404058,0.8895750780832652,0.8528515816693794,0.9028776978417267,0.009219806053482223
static_mean,in_distribution,MAX,0.7362559999999999,0.7375807639300327,0.7055509500206936,0.7690755791328183,0.7222110142494436,0.7396449704142012,0.0028356888455343576
best_single,in_distribution,MAX,0.734096,0.7351061383965724,0.7054107685483924,0.7657659023394906,0.7503652121785516,0.7440476190476191,0.0029014437584141874
DNABERT,in_distribution,MAX,0.85134,0.8516958276873038,0.8280929554488184,0.874675802603473,0.8411062953813171,0.8561643835616438,0.0059230477634571645
HetMoE,in_distribution,GABPA,0.92272,0.9230682715103444,0.9054947291416567,0.9386836644804193,0.9256450490048646,0.9659090909090909,0.02757949383517197
static_mean,in_distribution,GABPA,0.828368,0.8287806788781475,0.8051175660235153,0.8531866066159649,0.830620741841736,0.86,0.006111426947129051
best_single,in_distribution,GABPA,0.9688199999999999,0.968954509176897,0.9578336240855545,0.9784349310659465,0.9748894730634184,0.9966216216216216,0.2279752704791345
DNABERT,in_distribution,GABPA,0.879832,0.8798130308345423,0.8584722365433046,0.89922653146469,0.8795335501944311,0.916058394160584,0.01080592388496642
HetMoE,in_distribution,SP1,0.73708,0.7374782235857085,0.7058338098612237,0.769534572616146,0.7599541485218173,0.7763975155279503,0.0034636592867632802
static_mean,in_distribution,SP1,0.65934,0.659285909040065,0.6233898377709858,0.6949498569731973,0.6722735012783799,0.6684491978609626,0.0020140824645924304
best_single,in_distribution,SP1,0.6282639999999999,0.6280960914655186,0.593371625963367,0.664935564526401,0.6500468297220288,0.6203473945409429,0.0016329516580991135
DNABERT,in_distribution,SP1,0.71746,0.7173393403719317,0.6853531360879725,0.7486760825161631,0.7266889321643295,0.7241379310344828,0.002620741295394983
HetMoE,out_of_distribution,JUN,0.95922,0.9591444634931608,0.9478555059774224,0.9703440750852667,0.9549964026961524,0.9706959706959707,0.032093980864720845
static_mean,out_of_distribution,JUN,0.875956,0.875692988329848,0.8527719587397129,0.897657455868017,0.8322695952097956,0.832807570977918,0.004961380165755201
best_single,out_of_distribution,JUN,0.7986359999999999,0.7977750630371094,0.7703074095370311,0.8244099037504631,0.7965818492300709,0.8333333333333334,0.0049800796812749
DNABERT,out_of_distribution,JUN,0.881912,0.8816614960192092,0.8611450552729375,0.9010276279037899,0.8763746163097872,0.8900709219858156,0.008039718129404228
HetMoE,out_of_distribution,FOSL1,0.969392,0.9692294597157413,0.9592336214665792,0.9783482613135771,0.9652931580142358,0.9767441860465116,0.040345821325648415
static_mean,out_of_distribution,FOSL1,0.894832,0.8946302579801291,0.8745448747182353,0.9134001086034624,0.8730095495859935,0.8732876712328768,0.00685152345639207
best_single,out_of_distribution,FOSL1,0.818152,0.8185089016025852,0.7923205573762675,0.8436042484239531,0.8308282666732323,0.8694158075601375,0.006620437001177549
DNABERT,out_of_distribution,FOSL1,0.8788480000000001,0.878882040139283,0.8563854272390623,0.8989404458039789,0.8786188210551091,0.9057971014492754,0.009533251982916414
HetMoE,out_of_distribution,ATF3,0.822136,0.8212616611004215,0.7950607667870131,0.8456443387704047,0.8502030455247086,0.9205776173285198,0.011469437322898398
static_mean,out_of_distribution,ATF3,0.7203919999999999,0.7198655540612056,0.6878718736129794,0.7512583649446745,0.7325853666111892,0.7039106145251397,0.0023740885195862303
