model,ARID3A,FOXM1,GATA3,mean
MoE,0.710293771941891,0.687410054694922,0.7219929598020516,0.7065655954796215
ARID3A-expert,0.7547497195678934,0.5753014052738956,0.6216496699504597,0.6505669315974162
FOXM1-expert,0.59037150353832,0.7252250381995478,0.6145016874670582,0.6433660764016419
GATA3-expert,0.601462086355936,0.588582434027225,0.7807068940852683,0.656917138156143
DeepSEA,0.7205261848487601,0.7403018925957883,0.7411417732625456,0.733989950235698
DanQ,0.7129004973784197,0.7294771670394187,0.7360350047087466,0.7261375563755283
DNABERT,0.779106403595211,0.7799737588306657,0.7667801896326679,0.7752867840195149
