model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high
HetMoE,in_distribution,ARID3A,0.83292,0.8338427469287489,0.8060621628865332,0.8580781855546713
static_mean,in_distribution,ARID3A,0.749792,0.750892020834955,0.7200130636262414,0.778276106352665
best_single,in_distribution,ARID3A,0.717144,0.717457181644771,0.684332987526178,0.7483049297876357
DNABERT,in_distribution,ARID3A,0.784188,0.7851089287074772,0.7553292739874564,0.8115114861681638
HetMoE,in_distribution,FOXM1,0.8280959999999999,0.828037038070073,0.8000981883739212,0.8534346257886578
static_mean,in_distribution,FOXM1,0.762104,0.7624278169917816,0.7313027615477562,0.790722456773764
best_single,in_distribution,FOXM1,0.7282680000000001,0.728328191579693,0.6967500628207195,0.7575179976903611
DNABERT,in_distribution,FOXM1,0.789408,0.7891150799362606,0.7606438923190864,0.816471075588762
HetMoE,in_distribution,GATA3,0.8528600000000002,0.8529204297280321,0.8304326654252233,0.8754697397757698
static_mean,in_distribution,GATA3,0.7656080000000001,0.7656081422661173,0.7353350178843941,0.7948755388947051
best_single,in_distribution,GATA3,0.8788119999999999,0.8787304636682169,0.8564965051006224,0.8977121548611668
DNABERT,in_distribution,GATA3,0.8029439999999999,0.8028752296187743,0.7746791506963738,0.8288639117911791
HetMoE,out_of_distribution,BCLAF1,0.765536,0.7652141566850467,0.7374823039465588,0.7942999130799229
static_mean,out_of_distribution,BCLAF1,0.717876,0.7167931289786004,0.6855640762356038,0.7472679207212823
best_single,out_of_distribution,BCLAF1,0.665644,0.6642498403414406,0.6315925328928383,0.6953563426953648
DNABERT,out_of_distribution,BCLAF1,0.726908,0.7253988234060298,0.6963298147848921,0.7553681027610735
HetMoE,out_of_distribution,CTCF,0.924364,0.9243548765778901,0.9058723083467984,0.9404518071465103
static_mean,out_of_distribution,CTCF,0.819488,0.8190069858589072,0.7926315655914838,0.8427459763746348
best_single,out_of_distribution,CTCF,0.633732,0.6326720456473504,0.5985894095697102,0.6669593396001297
DNABERT,out_of_distribution,CTCF,0.8106479999999999,0.8099071732694817,0.7829123940385065,0.8356737402844117
HetMoE,out_of_distribution,POLR2A,0.736864,0.7370626685762874,0.7079140316561265,0.7685756769343077
static_mean,out_of_distribution,POLR2A,0.704744,0.7049460730008538,0.6736117132262874,0.7366418609347452
best_single,out_of_distribution,POLR2A,0.682384,0.6820626306722464,0.6490023418555991,0.7166187446957052
DNABERT,out_of_distribution,POLR2A,0.7236,0.7237411165996968,0.692937081547469,0.7553937584737641
HetMoE,out_of_distribution,RBBP5,0.726696,0.7271808098185606,0.6951272034928038,0.7577262500865996
static_mean,out_of_distribution,RBBP5,0.7034799999999999,0.7038692502921267,0.6706059533120836,0.7350091688104071
best_single,out_of_distribution,RBBP5,0.70116,0.701185937171343,0.6704987963492826,0.731963577033835
DNABERT,out_of_distribution,RBBP5,0.72688,0.7271090073369565,0.6955728120421961,0.7580876469956949
HetMoE,out_of_distribution,SAP30,0.718056,0.7178957626299354,0.6867076975348976,0.7478265454545889
static_mean,out_of_distribution,SAP30,0.6903919999999999,0.6901526395608588,0.6595272462726782,0.720033227264215
best_single,out_of_distribution,SAP30,0.6815,0.6811963544428348,0.6483243248803828,0.7138412451681255
DNABERT,out_of_distribution,SAP30,0.711604,0.7117524923756362,0.6805678809268492,0.7401543694993425
HetMoE,out_of_distribution,STAT3,0.770864,0.7701047969844589,0.741460222228697,0.8011450179840938
static_mean,out_of_distribution,STAT3,0.738892,0.7382810768994129,0.7071331207346193,0.7683295659894196
best_single,out_of_distribution,STAT3,0.6962080000000002,0.6953556925953326,0.662487640367678,0.7285425871028829
DNABERT,out_of_distribution,STAT3,0.756688,0.7558406504867267,0.7269702917488333,0.7864464503220084
