data_type,tf,mean_diff,ci95_low,ci95_high,p_value,superior,non_inferior_TOST
in_distribution,ARID3A,0.048733818221271694,0.032780675693263206,0.06654906963427555,0.0,True,True
in_distribution,FOXM1,0.038921958133812384,0.0233063387711824,0.055755981137280836,0.0,True,True
in_distribution,GATA3,0.050045200109257636,0.03436958982510124,0.06592299052906454,0.0,True,True
out_of_distribution,BCLAF1,0.03981533327901688,0.01763333498832265,0.06097142964738889,0.002,True,True
out_of_distribution,CTCF,0.11444770330840826,0.09524097229358801,0.1345687384624538,0.0,True,True
out_of_distribution,POLR2A,0.013321551976590669,-0.011587953781869895,0.03650499175786104,0.264,False,False
out_of_distribution,RBBP5,7.180248160408665e-05,-0.02152029016556135,0.020648791925299812,0.992,False,False
out_of_distribution,SAP30,0.006143270254299258,-0.01808060897205837,0.03114992039274512,0.628,False,False
out_of_distribution,STAT3,0.014264146497732234,-0.0019589545712862724,0.03220041731290372,0.082,False,True
